Category,Name,Scientific Name,Description,Catalog Number,Price,Tags
Shrubs,California Snow Azalea,Rhododendron sp.,"Large double. Good grower, heavy bloomer. Early to mid-season, acid loving plants. Plant in moist well-drained soil with pH of 4.0-5.5.",HP10-S1,$15.99,"flowering, acid-loving, moist soil, spring bloomer, white flowers"
Shrubs,Tibouchina,Tibouchina semidecandra,"Beautiful large royal purple flowers adorn attractive satiny green leaves that turn orange/red in cold weather. Grows up to 18 feet, or prune annually to shorten.",HP10-S2,$33.99,"purple flowers, color-changing foliage, tall, pruning required, tropical"
Shrubs,Haight Ashbury Hibiscus,Hibiscus rosa-sinensis,"Blooms in summer, 20-35 inches high. Fertilize regularly for best results. Full sun, drought tolerant.",HP10-S3,$12.99,"summer bloomer, compact, full sun, drought-tolerant, tropical"
Shrubs,Mona Lavender Plectranthus,Plectranthus cultivar,"Quick-growing, herbaceous shrub reaching up to 30 inches in height, forming a rounded, dense bush.",HP10-S4,$5.99,"fast-growing, herbaceous, compact, rounded shape, purple flowers"
Shrubs,Dr Burnside Camellia,Camellia japonica,"Slow growing, upright to spreading shrub. Oval, glossy leaves and profuse winter to spring blooming flowers.",HP10-S5,$15.99,"slow-growing, evergreen, winter bloomer, spring bloomer, glossy leaves"
Shrubs,Bougainvillea,Bougainvillea spectabilis,"Thorny woody vine scrambles over other plants with their hooked thorns. Pest free.",HP10-S6,$10.99,"vine, thorny, colorful bracts, pest-resistant, tropical"
Shrubs,Burgundy Rose,Rosa sp.,"Deep purple colored flowers, bushy rounded growth habit to 3 feet tall. Plant in full sun. Water regularly.",HP10-S7,$22.99,"purple flowers, bushy, full sun, regular watering, fragrant"
Shrubs,Iceberg Rose,Rosa sp.,"Pure white blooms, bushy rounded growth habit to 3 feet tall. Plant in full sun. Water regularly.",HP10-S8,$22.99,"white flowers, bushy, full sun, regular watering, fragrant"
Container Plants,Bonsai Tree,Various species,"They do not thrive indoors, where the light is too dim, and humidity too low, for them to grow properly.",HP10-CP1,$45.99,"miniature, artistic, outdoor, high maintenance, decorative"
Container Plants,Blue Legend Calibrachoa,Calibrachoa sp.,"Blooms continuously from early spring to first frost. Full sun or part shade, moist well-drained soil.",HP10-CP2,$12.99,"continuous bloomer, blue flowers, sun-loving, moist soil, trailing"
Container Plants,Cymbidium Orchid,Cymbidium aestivum,"The flowers last about ten weeks. They have a waxy texture and reach a height of more than 20 inches.",HP10-CP3,$14.99,"long-lasting flowers, waxy texture, tall, exotic, indoor"
Container Plants,Flowering Kale,Brassica oleracea,"Creamy-white centers, medium green outer foliage with flattened outer leaves.",HP10-CP4,$4.99,"ornamental, edible, cool-season, colorful foliage, winter interest"
Container Plants,Penny Orange Jump Up Viola,Viola x wittrockiana,"Compact mounds of colorful dainty flowers, good for window boxes. Fertile well-drained soil.",HP10-CP5,$4.99,"compact, mounding, orange flowers, window box, well-drained soil"
Container Plants,Pincushion Plant,Cotula sp.,"Cotula have very fragrant orange flowers that bloom in the middle of summer. Best in full sun on well-drained soil.",HP10-CP6,$5.99,"fragrant, orange flowers, summer bloomer, full sun, well-drained soil"
Container Plants,Ivy-Leaved Geranium,Pelargonium peltatum,"Well-drained neutral to slightly acid soil, bright light. Do not over-fertilize or these flowers will lose scent.",HP10-CP7,$4.99,"trailing, well-drained soil, bright light, fragrant, low-fertilizer"
Container Plants,Blue Shades Pansy,Viola x wittrockiana,"Compact mounds of colorful dainty flowers, good for window boxes. Fertile well-drained soil.",HP10-CP8,$3.99,"compact, mounding, blue flowers, window box, well-drained soil"
Container Plants,Yellow with Blotch Pansy,Viola x wittrockiana,"Compact mounds of colorful dainty flowers, good for window boxes. Fertile well-drained soil.",HP10-CP9,$3.99,"compact, mounding, yellow flowers, blotched, window box"
Container Plants,Purple Phalaenopsis Orchid,Phalaenopsis sp.,"Choose the brightest windows in your house for your orchids, place on a humidity tray and spray regularly.",HP10-CP10,$25.99,"purple flowers, bright indirect light, high humidity, indoor, exotic"
Herbaceous Perennials,Dianthus,Dianthus sp.,"They thrive in fertile, fast draining, slightly alkaline (pH 6.75) soil. Avoid over-watering.",HP10-HP1,$5.99,"alkaline soil, well-drained, drought-tolerant, fragrant, pink flowers"
Herbaceous Perennials,Bronze Mums,Chrysanthemum sp.,"Chrysanthemums respond to plenty of food and moisture, and prefer full sun.",HP10-HP2,$9.99,"bronze flowers, full sun, moisture-loving, heavy feeder, fall bloomer"
Herbaceous Perennials,Sea Pink,Armeria alliacea,"Summer flowering, 12-18 inches high, likes full sun and well-drained soil. Drought tolerant.",HP10-HP3,$7.99,"summer bloomer, compact, full sun, well-drained soil, drought-tolerant"
Herbaceous Perennials,Scarlet Sage,Salvia splendens,"Grows to 15 inches. The species is easy to grow from seeds or cuttings. This species prefers full sun.",HP10-HP4,$6.99,"red flowers, full sun, easy to grow, compact, hummingbird-friendly"
Herbaceous Perennials,Headbourne Agapanthus,Agapanthus sp.,"Easily grown, tolerant of drought and poor soil, flower and foliage improves with feeding. Full sun.",HP10-HP5,$8.99,"drought-tolerant, poor soil tolerant, full sun, blue flowers, strappy leaves"
Herbaceous Perennials,Siberian Iris,Iris sibirica,"These plants are very hardy, easy to grow, and increase readily. Average flower size is 3-4 inches in diameter.",HP10-HP6,$5.99,"hardy, easy-care, spreading, blue flowers, moisture-loving"
Herbaceous Perennials,White Wedding Chrysanthemum,Chrysanthemum sp.,"Chrysanthemums grow best and produce the most flowers if they are planted in full sunshine.",HP10-HP7,$9.99,"white flowers, full sun, fall bloomer, cut flower, frost-tolerant"
Herbaceous Perennials,Dusty Miller,Jacobaea maritima,"Grown primarily for its attractive silver-gray foliage rather than its yellow flowers. Drought tolerant.",HP10-HP8,$10.99,"silver foliage, drought-tolerant, full sun, coastal, deer-resistant"
Cacti & Succulents,Red Cactus,Various species,"Add water until there is half inch of dry soil on the surface. Do not water again until the soil is completely dry.",HP10-CS1,$18.99,"red, drought-tolerant, full sun, well-drained soil, low-maintenance"
Cacti & Succulents,Aloe Vera,Aloe barbadensis miller,"Drought tolerant, well-drained soil. Prefers full sun, sparse watering. Good as an accent plant in a border or patio.",HP10-CS2,$30.99,"medicinal, drought-tolerant, full sun, accent plant, low-water"
Cacti & Succulents,Exotic Dancer Christmas Cactus,Schlumbergera sp.,"Easy to care for, requiring watering only when they're dry. They like bright but indirect light.",HP10-CS3,$20.99,"holiday bloomer, indirect light, hanging, jungle cactus, colorful flowers"
Cacti & Succulents,String of Pearls,Curio rowleyanus,"Locate it in a place where it is exposed to at least a few hours of direct sunlight.",HP10-CS4,$18.50,"trailing, round leaves, hanging basket, succulent, unique"
Cacti & Succulents,Living Stones,Lithops sp.,"These plants blend in among the stones as a means of protection. Grazing animals would otherwise eat them.",HP10-CS5,$12.99,"mimicry plant, low-growing, drought-tolerant, unique, slow-growing"
Cacti & Succulents,Mexican Fencepost Cactus,Pachycereus marginatus,"The Mexican Fence Post will eventually reach 20 feet tall. Protect the growing tips with Styrofoam cups on the tops.",HP10-CS6,$55.99,"columnar, tall, architectural, full sun, drought-tolerant"
Cacti & Succulents,Mexican Golden Barrel Cactus,Echinocactus grusonii,"Growing as a large roughly spherical globe, it may eventually reach over a meter in height after many years.",HP10-CS7,$25.99,"spherical, slow-growing, golden spines, full sun, drought-tolerant"
Cacti & Succulents,Bunny Ears Cactus,Opuntia microdasys,"The plants should be kept almost completely dry during the winter months, once a month should be fine.",HP10-CS8,$16.99,"padded, drought-tolerant, full sun, low-water, unique shape"
